DATE,WILAYAH,KOMODITAS,HARGA
2024-10-28,NASIONAL,Beras Premium,15350
2022-01-01,NASIONAL,Beras Medium,11000
2022-01-01,NASIONAL,Daging Ayam Ras,10600
2022-01-01,NASIONAL,Daging Sapi Murni,11500
2022-01-01,NASIONAL,Telur Ayam Ras,12600
2022-01-01,NASIONAL,Ikan Kembung,11000
2022-01-01,NASIONAL,Ikan Tongkol,10000
2022-01-01,NASIONAL,Ikan Bandeng,10800
2022-01-01,NASIONAL,Bawang Merah,11500
2022-01-01,NASIONAL,Bawang Putih,11000
2022-01-01,NASIONAL,Cabai Merah Keriting,
2022-01-01,NASIONAL,Cabai Rawit Merah,11000
2022-01-01,NASIONAL,Minyak Goreng Kemasan Sederhana,11000
2022-01-01,NASIONAL,Minyak Goreng Curah,11000
2022-01-01,NASIONAL,Gula Pasir,11000
