DATE,WILAYAH,KOMODITAS,HARGA
2024-10-28,SULAWESI SELATAN,Beras Premium,15350
2022-01-01,SULAWESI SELATAN,Beras Medium,11000
2022-01-01,SULAWESI SELATAN,Daging Ayam Ras,10600
2022-01-01,SULAWESI SELATAN,Daging Sapi Murni,11500
2022-01-01,SULAWESI SELATAN,Telur Ayam Ras,12600
2022-01-01,SULAWESI SELATAN,Ikan Kembung,11000
2022-01-01,SULAWESI SELATAN,Ikan Tongkol,10000
2022-01-01,SULAWESI SELATAN,Ikan Bandeng,10800
2022-01-01,SULAWESI SELATAN,Bawang Merah,11500
2022-01-01,SULAWESI SELATAN,Bawang Putih,11000
2022-01-01,SULAWESI SELATAN,Cabai Merah Keriting,
2022-01-01,SULAWESI SELATAN,Cabai Rawit Merah,11000
2022-01-01,SULAWESI SELATAN,Minyak Goreng Kemasan Sederhana,11000
2022-01-01,SULAWESI SELATAN,Minyak Goreng Curah,11000
2022-01-01,SULAWESI SELATAN,Gula Pasir,11000
